account_id,customer_name,segment,industry,contract_value,plan_type,close_date,onboarding_start_date,target_activation_date,current_stage,onboarding_owner,sales_owner,customer_success_owner,implementation_owner,key_stakeholder_role,product_use_case,activation_criteria,activation_status,days_since_close,last_customer_touchpoint_date,next_step,blocker,customer_sentiment,support_tickets_open,usage_signal,integration_required,data_migration_required,training_completed,payment_status,renewal_risk_signal,notes
ACC-012,Luma Retail Cloud,SMB,Retail,34000,Growth,2026-03-30,2026-03-31,2026-04-29,Activated,Anika Menon,Vikram Sood,Aman Gill,Nisha Verma,Head of Ecommerce,Inventory forecast workflow,"Forecast workflow used by ecommerce team for weekly reorder planning",Activated,39,2026-05-01,Run usage recovery session,Low usage after onboarding,Neutral,2,Low,No,Yes,Yes,Paid,Watch,Synthetic low usage after activation
ACC-013,Meridian Robotics,Mid-market,Robotics,95000,Enterprise,2026-03-27,2026-03-28,2026-04-26,Technical integration,Isha Das,Arjun Mehta,Farah Ali,Pranav Nair,CEO,Field deployment analytics,"Robot fleet dashboard live for three deployment managers",Blocked,42,2026-05-02,Founder call with CEO and technical unblock plan,Integration blocked by security review,Executive escalated,5,Low,Yes,Yes,Partial,Paid,Churn risk,Synthetic high-value founder attention case
ACC-014,Northstar Legal Ops,SMB,Legal Services,9000,Starter,2026-03-25,2026-03-26,2026-04-24,Data migration,Maya Rao,Kabir Shah,Neha Kapoor,Dev Iyer,Operations Manager,Contract intake workflow,"Legacy matters migrated and intake form live",Blocked,44,2026-04-28,Reduce scope and confirm migration owner,Data migration stuck with messy source files,Concerned,3,None,Yes,Yes,No,Invoice pending,Risk,Synthetic low-value high complexity case
ACC-015,OrbitAI Studio,Startup,AI Tools,41000,Growth,2026-03-22,2026-03-23,2026-04-21,Expansion review,Riya Sen,Sara Khan,Aman Gill,Nisha Verma,Founder,Prompt operations workspace,"Team uses workspace for 50 weekly runs and sponsor requests expansion",Activated,47,2026-05-07,Prepare expansion discovery call,None,Champion,0,Growing,No,No,Yes,Paid,Expansion potential,Synthetic expansion potential example
ACC-016,Prairie Foods Network,Mid-market,Food Distribution,58000,Professional,2026-03-20,2026-03-21,2026-04-19,Activation review,Anika Menon,Vikram Sood,Farah Ali,Pranav Nair,CFO,Distributor margin reporting,"CFO reviews weekly margin report and exports board-ready pack",At risk,49,2026-04-30,Reset sponsor expectations and review value proof,Customer questions ROI after delayed rollout,Negative,4,Declining,Yes,Yes,Partial,Paid,Churn risk,Synthetic churn risk case
ACC-017,Quartz Education Group,SMB,Education,26000,Growth,2026-03-18,2026-03-25,2026-04-17,Kickoff scheduled,Isha Das,Arjun Mehta,Neha Kapoor,,Head of Admissions,Admissions workflow automation,"Admissions team imports leads and sends first automation sequence",In progress,51,2026-04-20,Restart kickoff with implementation owner,Delayed handoff and stale touchpoint,Concerned,1,None,No,Yes,No,Paid,Watch,Synthetic delayed start and stale touchpoint
ACC-018,Riverline Logistics,Mid-market,Logistics,67000,Enterprise,2026-03-15,2026-03-16,2026-04-14,Technical integration,Maya Rao,Kabir Shah,Aman Gill,Dev Iyer,VP Operations,Carrier performance management,"Carrier data connected and weekly performance review live",Blocked,54,2026-04-27,Resolve payment and unblock integration access,Payment failed and integration access withheld,Concerned,2,Low,Yes,Yes,Partial,Payment failed,Executive concern,Synthetic payment plus integration risk
ACC-019,Summit Health AI,Startup,Healthcare AI,37000,Growth,2026-04-22,2026-04-23,2026-05-22,Activation review,Riya Sen,Sara Khan,Farah Ali,Nisha Verma,Clinical Operations Lead,Clinical note QA,"Clinical ops team validates 100 notes and completes QA workflow",In progress,16,2026-05-07,Complete activation evidence review,None,Positive,1,Healthy,No,Yes,Yes,Paid,None,Synthetic near activation account
ACC-020,TerraWorks Energy,Enterprise pilot,Energy,83000,Enterprise,2026-03-10,2026-03-11,2026-04-09,Kickoff complete,,Vikram Sood,,Pranav Nair,VP Strategy,Asset inspection planning,"Inspection workflow live for two field teams",At risk,59,2026-04-18,Assign owners and reconnect sponsor,No activity after kickoff,Ghosting,6,None,Yes,Yes,No,Invoice pending,Churn risk,Synthetic high-value ghosting and owner gap
ACC-021,UniScale Marketplaces,Startup,Marketplace,31000,Growth,2026-03-05,2026-03-06,2026-04-04,Data migration,Anika Menon,Arjun Mehta,Aman Gill,Nisha Verma,Head of Operations,Seller onboarding workflow,"Seller data migrated and 30 sellers invited to first workflow",At risk,64,2026-04-25,Confirm final data fields and rerun migration,Data mapping unresolved,Neutral,2,Moderate,No,Yes,Partial,Paid,Watch,Synthetic data mapping case
ACC-022,Vertex Mining Analytics,Mid-market,Industrial Analytics,76000,Enterprise,2026-04-25,2026-04-26,2026-05-25,Technical integration,Isha Das,Sara Khan,Farah Ali,Dev Iyer,Operations Director,Equipment downtime prediction,"Downtime model receives live equipment feed and flags first alert",Blocked,13,2026-05-06,Review product gap and confirm workaround,Product gap blocking activation,Concerned,8,Low,Yes,No,Partial,Paid,Risk,Synthetic product gap and support load case
