account_id,customer_name,risk_type,severity,current_stage,owner,days_in_onboarding,target_activation_date,next_step,recommended_fix
ACC-013,Meridian Robotics,Integration stuck,High,Technical integration,Isha Das,41.0,2026-04-26,Founder call with CEO and technical unblock plan,Create technical unblock plan with implementation and product owner.
ACC-013,Meridian Robotics,High-value account at risk,Critical,Technical integration,Isha Das,41.0,2026-04-26,Founder call with CEO and technical unblock plan,Founder or executive should call the customer sponsor this week.
ACC-014,Northstar Legal Ops,Missed activation deadline,Critical,Data migration,Maya Rao,43.0,2026-04-24,Reduce scope and confirm migration owner,"Reset activation plan with owner, customer milestone, and date."
ACC-014,Northstar Legal Ops,Stale customer touchpoint,High,Data migration,Maya Rao,43.0,2026-04-24,Reduce scope and confirm migration owner,Create a customer touchpoint today and document the next action.
ACC-014,Northstar Legal Ops,Unresolved blocker,High,Data migration,Maya Rao,43.0,2026-04-24,Reduce scope and confirm migration owner,Convert blocker into a dated unblock plan with one accountable owner.
ACC-014,Northstar Legal Ops,Training incomplete,Medium,Data migration,Maya Rao,43.0,2026-04-24,Reduce scope and confirm migration owner,Schedule training and confirm attendance from the customer owner.
ACC-014,Northstar Legal Ops,Data migration stuck,High,Data migration,Maya Rao,43.0,2026-04-24,Reduce scope and confirm migration owner,"Create migration checklist, source data owner, and target completion date."
ACC-016,Prairie Foods Network,Missed activation deadline,Critical,Activation review,Anika Menon,48.0,2026-04-19,Reset sponsor expectations and review value proof,"Reset activation plan with owner, customer milestone, and date."
ACC-016,Prairie Foods Network,Stale customer touchpoint,High,Activation review,Anika Menon,48.0,2026-04-19,Reset sponsor expectations and review value proof,Create a customer touchpoint today and document the next action.
ACC-016,Prairie Foods Network,Unresolved blocker,Medium,Activation review,Anika Menon,48.0,2026-04-19,Reset sponsor expectations and review value proof,Convert blocker into a dated unblock plan with one accountable owner.
ACC-016,Prairie Foods Network,Low usage after onboarding,High,Activation review,Anika Menon,48.0,2026-04-19,Reset sponsor expectations and review value proof,Run usage recovery plan tied to activation criteria.
ACC-016,Prairie Foods Network,High-value account at risk,Critical,Activation review,Anika Menon,48.0,2026-04-19,Reset sponsor expectations and review value proof,Founder or executive should call the customer sponsor this week.
ACC-017,Quartz Education Group,Delayed onboarding start,High,Kickoff scheduled,Isha Das,44.0,2026-04-17,Restart kickoff with implementation owner,Assign onboarding owner and schedule kickoff inside the handoff SLA.
ACC-017,Quartz Education Group,Missed activation deadline,Critical,Kickoff scheduled,Isha Das,44.0,2026-04-17,Restart kickoff with implementation owner,"Reset activation plan with owner, customer milestone, and date."
ACC-017,Quartz Education Group,Stale customer touchpoint,High,Kickoff scheduled,Isha Das,44.0,2026-04-17,Restart kickoff with implementation owner,Create a customer touchpoint today and document the next action.
ACC-017,Quartz Education Group,Missing owner,High,Kickoff scheduled,Isha Das,44.0,2026-04-17,Restart kickoff with implementation owner,"Assign onboarding, customer success, and implementation owners."
ACC-017,Quartz Education Group,Unresolved blocker,Medium,Kickoff scheduled,Isha Das,44.0,2026-04-17,Restart kickoff with implementation owner,Convert blocker into a dated unblock plan with one accountable owner.
ACC-017,Quartz Education Group,Training incomplete,Medium,Kickoff scheduled,Isha Das,44.0,2026-04-17,Restart kickoff with implementation owner,Schedule training and confirm attendance from the customer owner.
ACC-018,Riverline Logistics,Missed activation deadline,Critical,Technical integration,Maya Rao,53.0,2026-04-14,Resolve payment and unblock integration access,"Reset activation plan with owner, customer milestone, and date."
ACC-018,Riverline Logistics,Stale customer touchpoint,High,Technical integration,Maya Rao,53.0,2026-04-14,Resolve payment and unblock integration access,Create a customer touchpoint today and document the next action.
ACC-018,Riverline Logistics,Unresolved blocker,High,Technical integration,Maya Rao,53.0,2026-04-14,Resolve payment and unblock integration access,Convert blocker into a dated unblock plan with one accountable owner.
ACC-018,Riverline Logistics,Unpaid payment status,High,Technical integration,Maya Rao,53.0,2026-04-14,Resolve payment and unblock integration access,"Resolve billing owner, invoice status, and commercial next step."
ACC-018,Riverline Logistics,Integration stuck,High,Technical integration,Maya Rao,53.0,2026-04-14,Resolve payment and unblock integration access,Create technical unblock plan with implementation and product owner.
ACC-018,Riverline Logistics,High-value account at risk,Critical,Technical integration,Maya Rao,53.0,2026-04-14,Resolve payment and unblock integration access,Founder or executive should call the customer sponsor this week.
ACC-020,TerraWorks Energy,Missed activation deadline,Critical,Kickoff complete,Unassigned,58.0,2026-04-09,Assign owners and reconnect sponsor,"Reset activation plan with owner, customer milestone, and date."
ACC-020,TerraWorks Energy,Stale customer touchpoint,High,Kickoff complete,Unassigned,58.0,2026-04-09,Assign owners and reconnect sponsor,Create a customer touchpoint today and document the next action.
ACC-020,TerraWorks Energy,Missing owner,High,Kickoff complete,Unassigned,58.0,2026-04-09,Assign owners and reconnect sponsor,"Assign onboarding, customer success, and implementation owners."
ACC-020,TerraWorks Energy,Unresolved blocker,Medium,Kickoff complete,Unassigned,58.0,2026-04-09,Assign owners and reconnect sponsor,Convert blocker into a dated unblock plan with one accountable owner.
ACC-020,TerraWorks Energy,Training incomplete,Medium,Kickoff complete,Unassigned,58.0,2026-04-09,Assign owners and reconnect sponsor,Schedule training and confirm attendance from the customer owner.
ACC-020,TerraWorks Energy,High-value account at risk,Critical,Kickoff complete,Unassigned,58.0,2026-04-09,Assign owners and reconnect sponsor,Founder or executive should call the customer sponsor this week.
ACC-021,UniScale Marketplaces,Missed activation deadline,Critical,Data migration,Anika Menon,63.0,2026-04-04,Confirm final data fields and rerun migration,"Reset activation plan with owner, customer milestone, and date."
ACC-021,UniScale Marketplaces,Stale customer touchpoint,High,Data migration,Anika Menon,63.0,2026-04-04,Confirm final data fields and rerun migration,Create a customer touchpoint today and document the next action.
ACC-021,UniScale Marketplaces,Unresolved blocker,High,Data migration,Anika Menon,63.0,2026-04-04,Confirm final data fields and rerun migration,Convert blocker into a dated unblock plan with one accountable owner.
ACC-021,UniScale Marketplaces,Data migration stuck,High,Data migration,Anika Menon,63.0,2026-04-04,Confirm final data fields and rerun migration,"Create migration checklist, source data owner, and target completion date."
ACC-022,Vertex Mining Analytics,Unresolved blocker,High,Technical integration,Isha Das,12.0,2026-05-25,Review product gap and confirm workaround,Convert blocker into a dated unblock plan with one accountable owner.
ACC-022,Vertex Mining Analytics,Integration stuck,High,Technical integration,Isha Das,12.0,2026-05-25,Review product gap and confirm workaround,Create technical unblock plan with implementation and product owner.
